Name,Scientific Name,Occurrence,Allergen Name,Alternative Allergen Name,Allergen Designation,Protein Family,Sequence Known,Allergen Stability,Nature,Properties,Purification
"Maize, corn",Zea mays,,50 kDa allergen,,Major,Not known,No,,Not known,,"Pasini et al. 2002 [760] extracted corn flour with 0.5 M NaCl (repeated 3 times) and with water. The salt extracted residue with 50 ml of 50 mM Tris-HCl, pH 7.4 containing 20 mM dithiothreitol by the method of Vitale et al. (1982) [993]. The extract is called the ""Reduced Soluble Protein fraction"" and contains proteins with several masses."
"Maize, corn",Zea mays,,Alpha-Zeins,,Minor,Alpha-prolamins;http://www.sanger.ac.uk/cgi-bin/Pfam/getacc?PF01559,Yes,,Not known,,"Cornflour was extracted with acetone and hexane to remove lipid and dried. A 70% (v/v) aqueous methanol extract was then made and decolourised over activated charcoal. After filtration, the extract was dialysed and lyophilised. The zeins were separated using gel-filtration on Sephacryl S-300 in 70% (v/v) aqueous ethanol. The Z19/Z22 fraction was dialysed and lyophilised (Tatham et al. 1993 [1028]).Forato et al. (2004) [1030] extracted pure Z19 from the BR451 maize variety which does not express the Z22 zeins."
"Maize, corn",Zea mays,,Trypsin inhibitor,,Minor,PFAMPF00234; tryp_alpha_amyl; 2S albumin subfamily.,Yes,,None known,,"Hazegh-Azam et al (1998) [995] report the purification of the recombinant trypsin inhibitor expressed inE. coliin two form (one with an N-terminal tag) and show that these have a similar fold to the protein purified from maize by Lei & Reeck (1986) [996] using a trypsin-agarose column with elution by 1.0 M glycine buffer, pH 2.1, and reversed-phase HPLC."
"Maize, corn",Zea mays,,Zea m 14,,Major,non specific lipid transfer proteins (LTPs) PfamPF00234,Yes,,The IgE to maize LTP has been shown to be cross react with rice and peach LTPs but not with those from wheat or barley.,,"Shin et al. (1994) [997] modified the method of Douady et al. (1982) [998] using maize seeds germinated in the dark for 3 days, roots were discarded and the seedlings ground with extraction buffer (25 mM sodium phosphate at pH7.0 with 3 mM EDTA, 3 mM L-cysteine, 8 mM mercaptoethanol). The extract was centrifuged at 8500g for 50 minutes and the supernatant heated to 70Â° C for 10 minutes.  after standing for 24 hours at 4Â° C, the sediment was removed by centrifuging at 15,600g for 10 minutes. The supernatant was loaded onto a CM-cellulose column in 25 mM sodium phosphate at pH7.0 and eluted by a gradient of 0-0.5M NaCl. Fractions with nsLTP were concentrated and loaded on Sepadex G-50. A second CM-cellulose column was eluted with a 50mM-300 mM NaCl gradient and nsLTP was dialysed and used."
Salmon,Salmo salar,,,,,,,,,,
Salmon,Salmo salar,,,,,,,,,,
Salmon,Salmo salar,,Sal s 1,,Major,"EF hand calcium binding proteins, PfamPF00036; efhand.",Yes,,"Lindstrom et al. (1996) [1374] report IgE cross reactivity between cod and salmon parvalbumins. Bugajska-Schretter et al. (1998) [1318] reported inhibition of IgE binding to salmon extract after preadsorption of 4 sera with cod extract was 52%, 96%, 74% and 87% for salmon.Bugajska-Schretter et al. 2000 [1314] report that preabsorbtion of sera from 11 fish allergic patients by carp parvalbumin caused mean inhibition of IgE binding of 78% to salmon extract (55%-93%).Van Do et al (2005) [1792] used SPT and ELISA inhibition with 12 patients and their sera to characterize the cross-reactivities of native and some recombinant parvalbumins from 9 species with cod. For most sera, both native and recombinant salmon parvalbumins caused significant inhibition of IgE binding to cod parvalbumin. However,  for 2/10 sera, native salmon parvalbumin did not cause inhibition, although surprisingly recombinant salmon parvalbumin caused inhibition, and with 2 further sera inhibition was weak with both native and recombinant salmon parvalbumin.",,"Lindstrom et al. (1996) [1374] report purification of two parvalbumins by anion exchange chromatography, gel filtration chromatography and high-performance liquid chromatography of salmon muscle extracts.Van Do et al (1999) [1396] report production and purification of both parvalbumins as recombinant His-tag fusion proteins using anEscherichia coliexpression vector (pET-19b). The His-tag could be partially removed by digestion with enterokinase. The proteins without the His tag showed a MW similar to that of the native protein. Longer digestion or a larger enterokinase concentration led to further degradation of the proteins."
"Shrimp, Neptune rose shrimp",Parapenaeus fissurus,,,,,,,,,,
"Shrimp, Neptune rose shrimp",Parapenaeus fissurus,,,,,,,,,,
"Shrimp, Neptune rose shrimp",Parapenaeus fissurus,,Arginine kinase,,Major,Arginine and creatine kinases. Pfam domainsPF00217andPF02807.,Only peptide sequences,,"Other arthropod arginine kinases are more than 77% identical in amino acid sequence and identity is more than 90% within the decapoda. Thus extensive IgE cross-reactivity is highly likely between arthropods. However, the closest vertebrate homologues are the creatine kinases which are approximately 45% identical in sequence and are not expected to cross-react.Thus, Yu et al. (2003) [1542] used sera from 13 Penm 2 allergic individuals and found IgE binding with 13/13 sera to sand shrimp (Metapenaeus ensis), 12/13 sera to lobster (Homarus gammarus), 11/13 sera to crawfish (Metanephrops thomsoni), and 11/13 sera to crab (Scylla serrata).Binder et al. (2001) [1588] report IgE cross-reactivity between arginine kinases from moth, dust mite, cockroach, king prawn, lobster, and mussel.Neither Lin et al. (1993) [1565] using two anti-arginine kinase monoclonal IgGs with pomfret nor Binder et al. (2001) [1588] using IgE with cod observed any cross-reaction with vertebrate muscle.",,"Lin et al. (1993) [1565] purified the 39 kDa allergen on 1D SDS-PAGE. The protein was extracted in 0.5% SDS for 6 days, dialysed and lyophilized."
Acerola,Malpighia glabra,,,,,,,,,,
Acerola,Malpighia glabra,,,,,,,,,,
Garden plum,Prunus domestica,,,,,,,,,,
Garden plum,Prunus domestica,,,,,,,,,,
Garden plum,Prunus domestica,,Pru d 3,,Major,"Protease inhibitor/seed storage/LTP family, PfamPF00234non specific lipid transfer protein (nsLTP)",Yes,,"There is extensive evidence of cross-reactivity amongst lipid transfer proteins fromRosaceaefruit (including apple, peach, apricot, cherry, plum, and pear) (Pastorello et al. 1994) [156].",,"250 g of plum peel is homogenised in 100 ml of 10 mM phosphate buffered saline pH 7 with 2% (w/v) polyvinylpolypyrrolidone, 2 mM EDTA and 10 mM diethyldithiocarbamate. After homogenizing and centrifuging, the resulting supernatant was dialysed and concentrated to 130 mg/ml. The solution was diluted 1:3 (v/v) with 30 mM sodium citrate pH 2.2 and loaded onto a Resource-S column for cation exchange. Elution used a gradient of 15 column volumes to 30 mM sodium citrate pH 2.2 with 1M NaCl. Concentrated fractions were loaded on a Superdex 75 gel filtration column (Pastorello et al. 2001) [152]"
Pear,Pyrus communis,,,,,,,,,,
Pear,Pyrus communis,,,,,,,,,,
Pear,Pyrus communis,,Pyr c 1,,Major,"Pathogenesis-related protein Bet v I family,Pfam PF00407",Yes,,"IgE cross-reactivity between Pyr c 1, Bet v 1 from birch pollen and Mal d 1 from apple, but not to the celery allergen Api g 1, has been reported indicating epitope differences between Bet v 1-related food allergens (Karamloo et al. 2001) [83]IgE cross-inhibition studies between Pyr c 1 and Bet v 1 indicate the presence of common epitopes (Ebner et al. 1995) [46] (Karamloo et al. 2001) [83].",,"Recombinant Pyr c 1 has been purified using a heterologous expression system, E. coli, as a His tag fusion portein and further purified by metal chelate affinity chromatography (Scheurer et al. 1997) [176] (Karamloo et al. 2001) [83]."
Pear,Pyrus communis,,Pyr c 4,,Major,ProfilinPfam PF00235,Yes,,IgE cross-reacts with profilins from other plant species such as Bet v 2 from birch pollen and other fruit profilin allergens. Pry c 4 shows a 82.7% sequence identity with Bet v 2 and 82.1% with Api g 4 (Scheurer et al. 2001) [181]IgE cross reactivity between a 14 kDa polypeptide from peach extract and rBet v 2 has been reported (Ebner et al. 1995) [46],,"Pyr c 4 has been cloned by polymerase chain reaction, produced in Escherichia coli BL21, and purified as non-fusion proteins by affinity chromatography on poly-(L-proline)-Sepharose (Scheurer et al. 2001) [181]"
Pear,Pyrus communis,,Pyr c 5,,Minor,Isoflavone reductasePfam PF02716,yes,,"Pyr c 5 and Bet v 6 share 80% amino-acid sequence identity. IgE cross-reactivity between both allergens has been demonstrated by EAST inhibition experiments (Karamloo et al. 2001) [84]. These authors also suggested that homologous allergens may be present in many vegetable foods such as apple, peach, orange, lychee fruit, strawberry, persimmon, zucchini (courgette), and carrot.IgE cross-reactivity between a 30 kDa protein in latex and in pear has been demonstrated by immunoblotting (Lavaud et al. 1995) [102]",,The recombinant protein was expressed as His-Tag fusion proteins inEschershia coliand purified by Ni-chelate affinity chromatography under native conditions. (Karamloo et al. 2001) [84].
Castor bean,Ricinus communis,,,,,,,,,,
Castor bean,Ricinus communis,,,,,,,,,,
Castor bean,Ricinus communis,,Ric c 1 and Ric c 3,,Major,PFAMPF00234; tryp_alpha_amyl,Yes,,None reported,,Castor bean extract prepared by grinding castor beans into a fine powder and extracting in PBS for 3 hours at room temperature.  The extract was centrifuged at 2000g for 15min and the fatty layer discarded.  Extract was analysed by SDS-PAGE and IEF.  The extract was also used to purify the 2S storage albumins as follows: the protein was extracted into saturated ammonium sulphate solution at 4C overnight and the precipitated protein was centrifuged at 2000g for 15min. The precipitate was resuspended in 0.05M imidazole HCl buffer and fractionated on a Sephadex G-50 column. The second peak was pooled and re-chromatographed to give a very pure 2S albumin preparation.
Castor bean,Ricinus communis,,Ric c 2,,Minor,Probably PfamPF00190; Cupin; 11S seed storage globulin,See other information,,,,Not reported
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)","Triticum aestivum, T. durum and other Triticum species.",,,,,,,,,,
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)","Triticum aestivum, T. durum and other Triticum species.",,,,,,,,,,
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)","Triticum aestivum, T. durum and other Triticum species.",,Alpha gliadins,,None,PFAMPF00234; tryp_alpha_amyl; Prolamin storage protein family,Yes,,Not known,,Wheat grains were ground and extracted with 50% acetonitrile and 0.1% trifluoroacetic acid. The acetonitrile-soluble wheat proteins were purified by reversed-phase chromatography on a 3-mL column (Resource RPC; Pharmacia) with a linear gradient of acetonitrile (10% to 60% in 60 minutes) in 0.1% trifluoroacetic acid (Palosuo et al. 1999 [137]).
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)","Triticum aestivum, T. durum and other Triticum species.",,Alpha-amylase inhibitor 0.53,,None,PFAMPF00234; tryp_alpha_amyl; Trypsin/alpha-amylase inhibitor subfamily,Yes,,"There are other members of the family in wheat, with >90% sequence identity, and other cereals which would be expected to show some cross-reactivity.",,"Maeda et al. (1983) [909] purified the alpha-amylase inhibitor 0.53 by extraction from wheat flour with water, heat denaturation, ethanol fractionation and chromatography on Sepadex G-75 and CM-Sepharose CL-4B."
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)","Triticum aestivum, T. durum and other Triticum species.",,CM3,,None,PFAMPF00234; tryp_alpha_amyl; alpha-amylase inhibitor subfamily,Yes,,"There are many members of the alpha-amylase family in cereals (Salcedo et al. 2004 [985]). For example, there are barley proteins with 83% sequence identity with CM3 suggesting that some cross-reactivity is likely.",,Purification of CM3 (Kusaba-Nakayama et al (2000) [101]; Gilbert et al. (2003) [907]) is by modification of the method of Sanchez-Monge et al. (1992) [908]. The salt-soluble proteins are extracted and the tetrameric alpha-amylase inhibitors separated by gel filtration. CM3 was further purified by reverse-phase HPLC with subunits being eluted with a linear gradient of 15\Z35% propan-2-ol in 0.1% trifluoroacetic acid.
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)","Triticum aestivum, T. durum and other Triticum species.",,Lipid Transfer Protein LTP1,,None,PFAMPF00234; tryp_alpha_amyl; lipid transfer protein subfamily,Yes,,Wheat LTP1 has 74-75% sequence identity with barley nsLTP. This suggests some cross-reactivity between wheat and barley. Battais et al. (2004) [1120] reported that some wheat allergic patients with IgE reactive with wheat LTP also bound barley LTP1. Pastorello et al. (2001) [983] reported that IgE binding to wheat LTP could be inhibited by peach. Wheat and peach nsLTPs have 46% sequence identity.,,"Charvolin et al. (1999) [1146] extracted wheat bran (1kg) with 5L of deionized water. After filtration through a BÃ¼chner funnel and centrifugation at 5000 xgfor 20 min, the extract was loaded on a column (5 X 30 cm) packed with a cation-exchange resin (Streamline, Pharmacia). The fractions were eluted by applying a gradient from 0 to 0.7M NaCl in 20 mM Mes buffer, pH 5.6. ns-LTP1-enriched fractions were pooled, dialysed overnight against deionized water, and freeze-dried. The dry material was solubilized and loaded on a gel filtration column (3 X 100 cm) packed with Sephadex G50 and eluted in 20mM Mes buffer, pH 5.6. Finally, ns-LTP1 was purified from the enriched fractions by semipreparative C18 reversed-phase HPLC on a 5Âµm, 300-Ã bonded silica column (25 X 1 cm) using a gradient of water/acetonitrile/0.05% trifluoroacetic acid (1% acetonitrile per min) at 50Â°C and freeze dried. The purity of the protein was checked by analytical HPLC and by mass spectrometry."
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)","Triticum aestivum, T. durum and other Triticum species.",,Tri a 19,,Major,Gliadins; Prolamin storage proteins,Yes,,Cross-reactive allergens are present in rye (gamma-70 and gamma-35 secalins) and barley (gamma-3 hordein).,,"""Wheat grains were ground, and proteins were extracted with 50% acetonitrile containing 0.1% trifluoroacetic acid. Omega-5 gliadin was purified on a Resource RPC 3mL column (Pharmacia, Uppsala, Sweden) using a linear gradient of acetonitrile (10 to 60% in 60 min) in 0.1% trifluoroacetic acid. The antigen solutions were irradiated with 12000 rads to destroy possible microbial contamination, and stored at -20Â° C"" (Palusuo et al. 1999; Lehto et al. 2003)"
Turnip,Brassica rapa,,,,,,,,,,
Turnip,Brassica rapa,,,,,,,,,,
Turnip,Brassica rapa,,Bra r 2,,None,Two domains: PFAMPF00967; Barwin family and PFAMPF00187; Chitin_bind_1.,Partial,,"Cross-reacts with hevein, Hev b 6.02, from natural rubber latex. Similar proteins are found in tomato and potato.",,"Slices of frozen turnip root were homogenized in an equal amount of ice-cold water and mixed 1:2 (wt/vol) with 20% acetonitrile (ACN) containing 0.1% trifluoroacetic acid. After stirring and filtering through a 0.45-Âµm membrane (Millex HV; Millipore, Molsheim, France), the extract was chromatographed (without concentration) on a linear ACN gradient from 15% to 60% in 20 minutes by HPLC. Affinity binding to and elution from chitin were used for further purification followed by reversed-phase chromatography on a ReSource RPC 3-mL column by using a linear gradient of ACN (0% to 60% in 40 minutes) in 0.1% trifluoroacetic acid at a flow rate of 1 mL/min (Hanninen et al. 1999 [929])."
Strawberry,Fragaria ananassa,,,,,,,,,,
Strawberry,Fragaria ananassa,,,,,,,,,,
Strawberry,Fragaria ananassa,,Bet v 1 homologue,,None,"Bet v 1 homologue, PfamPF00407",Fragment only,,It is believed that Bet v 1 acts as sensitiser for this family of proteins and that many cross-react with Bet v 1. Bet v 1 fully inhibits IgE binding to the strawberry homologue but strawberry does not fully inhibit binding of IgE to Bet v 1 (Karlsson et al. 2004) [1133]. Birch pollen is likely to be the primary sensitising agent. Mal d 1 also inhibits IgE binding and allergens from otherRosaceaefruits such cherry Pru av 1 are also likely to cross-react.,,Not reported
Pumpkin,Cucurbita maxima,,,,,,,,,,
Pumpkin,Cucurbita maxima,,,,,,,,,,
Pumpkin,Cucurbita maxima,,Profilin,,None,Profilin; PfamPF00235,No,,"Fritsch et al. (1997) [56] report inhibition of IgE binding to the 14 kDa allergen by birch profilin, Bet v 2. This may not cause clinically relevent cross-reactivity but as there are many other profilin food allergens, there may be some giving cross-reactions due to sequence homology.",,Not reported
"Shrimp, Indian prawn",Fenneropenaeus indicus,,,,,,,,,,
"Shrimp, Indian prawn",Fenneropenaeus indicus,,,,,,,,,,
"Shrimp, Indian prawn",Fenneropenaeus indicus,,Pen i 1,,None,PfamPF00261; Tropomyosin family,Only 9 peptides were sequenced.,,IgE cross-reactivity is likely with many invertebrate tropomyosins. See data for the similar allergens Pen a 1 and Met e 1.,,"Naqpal et al (1989) [1572] purified two heat-stable allergens, designated as Sa-I and Sa-II, from boiled shrimp (Fenneropenaeus indicus) extracts. Sa-I was isolated by ultrafiltration, Sephadex G-25, and diethylaminoethyl-Sephacel chromatography and gave a single band on SDS-PAGE at 8.2 kDa. Sa-II was purified by successive chromatography on diethylaminoethyl-Sephacel, Bio-Gel P-200, and Sepharose 4B columns. It gave a singe band at 34 kDa on SDS-PAGE.Shanti et al. (1993) [1576] used competitive ELISA inhibition to show that Sa-II bound IgE identically to tropomysosin purified from raw shrimp (Fenneropenaeus indicus). Sa-II also ran similarly on SDS-PAGE and HPLC of tryptic digests were superimposable. They also showed that Sa-I was a fragment of Sa-II."
Lychee,Litchi chinensis,,,,,,,,,,
Lychee,Litchi chinensis,,,,,,,,,,
Tuna,Thunnus tonggol,,,,,,,,,,
Tuna,Thunnus tonggol,,,,,,,,,,
Tuna,Thunnus tonggol,,Parvalbumin,,None,"EF hand calcium binding proteins, PfamPF00036; efhand.",No,,"Bugajska-Schretter et al. 2000 [1314] report that preabsorbtion of sera from 11 fish allergic patients by carp parvalbumin caused mean inhibition of IgE binding of 81% to cod (55%-91%), 89% to tuna (60%-98%), and 78% to salmon extract (55%-93%). Similarly, Swoboda et al (2002) [1313] reported that when sera from 16 fish-allergic patients were preadsorbed with rCyp c 1.01, this strongly inhibited IgE binding to natural fish extracts (i.e. cod, 62–96%, 76% mean inhibition; tuna, 33–98%, 69% mean inhibition; salmon, 41–95%, 70% mean inhibition).Van Do et al (2005) [1792] used SPT and ELISA inhibition with 12 patients and their sera to characterize the cross-reactivities of native and some recombinant parvalbumins from 9 species with cod. For most sera, native tuna parvalbumins caused significant inhibition of IgE binding to cod parvalbumin.",,"Shiomi et al (1999) [1605] purified allergens from bigeye tuna,Thunnus obesus,starting from an extract of muscle made by homogenizing with 3 volumes of PBS (0.15 M NaCl, 0.01 M phosphate buffer, pH 7.0). This was heated to 100° C for 10 minutes, cooled to 5° C and centrifuged at 18000 x g for 20 minutes. The supernatant was purified by gel filtration on a Sephadex G-75 column (2.5 x 90 cm) equilibrated with PBS and eluted at 35 ml/h. Allergen containing fractions were combined and applied to reverse-phase HPLC on a TSKgel ODS-120T colun (0.46 x 25 cm). Fractions were eluted at 1 ml/h. with a 35-55% gradient of acetonitrile in 0.1% trifluoroacetic acid in two peaks, Thu o 1.01 and Thu o 1.02. The yield was 14 and 8.3 mg from 320 g of tuna muscle.Van Do et al (2005) [1792] also report a partial purification of parvalbumin from tuna,Thunus albacares,without details."
Pineapple,Ananas comosus,,,,,,,,,,
Pineapple,Ananas comosus,,,,,,,,,,
Pineapple,Ananas comosus,,Ana c 1,,Minor,"Profilin, PfamPF00235",Yes,,"Sequence identity of pineapple profilin with that of many others is high including natural rubber latex (80%), pear (77%), apple (79%), celery (72%), sweet cherry (79%), peanut (78%), birch pollen (71%), timothy grass pollen (77%), tomato profilin. This indicates a very high liklihood of IgE cross-reacting although this has not been demonstrated (Reindl et al. 2002)",,The recombinant pineapple profilin has been expressed inE. coli andpurified by affinity chromatography using poly-(L)-proline as the solid phase. (Reindl et al. 2002)
Almond,Prunus dulcis,,,,,,,,,,
Almond,Prunus dulcis,,,,,,,,,,
Almond,Prunus dulcis,,2S albumin,,major,PfamPF00234; tryp_alpha_amyl,Partial,,Not known,,"Almond extract was prepared by defatting with diethyl ether and washing with acetone at -20 degrees C. This was extracted with 10 mM potassium phosphate buffer pH 7.4 with 150 mM NaCl, 0.5 mM phenylmethylsulphonylfluoride and 2 mM beta-mercaptoehanol. After homogenisation and centrifugation, the supernatant was adjusted to pH5 and centrifuged. The supernatant was adjusted to pH 7.0 and solid ammonium suphate added to 40% saturation. The precipitate was centrifuged and resuspended in 25 mM Tris-HCl, pH 7.5, desalted on a Sephadex G-100 column and loaded on a Mono-Q ion-exchange column in 25 mM Tris pH 7.5. The 2S albumin does not bind and is then pure as judged by SDS-PAGE when stained by Coomassie brilliant blue (Poltronieri et al. 2002 [725])."
Almond,Prunus dulcis,,Amandin,,Major,PfamPF00190; Cupin 11S,Yes,,Not determined,,"Defatted almond flour was extracted with 10 volumes of 0.02 M Tris-HCl (pH 8.1 buffer) with constant magnetic stirring, filtered through glass wool, and the filtrate was centrifuged. The supernatant was loaded onto a DEAE DE-53 column equilibrated in 0.02 M Tris-HCl buffer and then eluted with a 0-0.5 M NaCl gradient. Fractions containing the almond major protein, AMP, were pooled and concentrated. Aliquots were loaded on a Sephacryl S300 column in Tris buffer with 0.1 M NaCl. Fractions containing the AMP were pooled, dialyzed, and lyophilized (Acosta et al. 1999 [732])."
Almond,Prunus dulcis,,Conglutin Gamma,,major,"7S Cupin, PfamPF00190",N-terminal fragment only.,,The almond 45 kDa allergen is a 7S cupin and the N-terminal sequence is closest to that of lupin.,,"Almond extract was prepared by defatting with diethyl ether and washing with acetone at -20 degrees C. This was extracted with 10 mM potassium phosphate buffer pH 7.4 with 150 mM NaCl, 0.5 mM phenylmethylsulphonylfluoride and 2 mM beta-mercaptoehanol. After homogenisation and centrifugation, the supernatant was adjusted to pH5 and centrifuged. The supernatant was adjusted to pH 7.0 and solid ammonium suphate added to 40% saturation. The precipitate was centrifuged and resuspended in 25 mM Tris-HCl, pH 7.5, desalted on a Sephadex G-100 column and loaded on a Mono-Q ion-exchange column in 25 mM Tris pH 7.5. Gradients of 100-200, 200-300 and 300-500 mM NaCl eluted the 45 kDa allergen. SDS-PAGE separated one peak into proteins near 45 kDa and 27 kDa. The 45 kDa protein was N-terminaly sequenced (Poltronieri et al. 2002 [725])."
Mackerel,"Scomber japonicus, Scomber scombrus, Scomber australasicus",,,,,,,,,,
Mackerel,"Scomber japonicus, Scomber scombrus, Scomber australasicus",,,,,,,,,,
Mackerel,"Scomber japonicus, Scomber scombrus, Scomber australasicus",,Parvalbumin,,None,"EF hand calcium binding proteins, PfamPF00036; efhand.",Yes,,"Hansen et al (1997) [1295] showed that there was IgE cross-reactivity between cod, plaice, herring and mackerel in their 8 patients using skin prick, histamine release and inhibition of IgE binding. This was shown by immunoblotting to be due to the parvalbumins related to Gad c 1 of cod. Similarly, Hamada et al. (2003) [1395] found that IgE from 4/5 patients reacting to salmon, cod, sardine and tuna also bound to the parvalbumins from the 3 species of mackerel. IgE from the fifth patient's sera was found to bind to collagen. Hamada et al (2004) [1392] tested the effectiveness of inhibition of IgE binding of natural and recombinant mackerel parvalbumin against purified parvalbumins from Japanese eel, horse mackerel, red sea bream, skipjack, bigeye tuna and Japanese flounder. They concluded that there was significant cross-reactivity and that the recombinant mackerel parvalbumin could be used to diagnose fish-allergy.",,"Parvalbumin was purified from the white muscle of three species of mackerel (Scomber japonicus, S. australasicusandS. scombrus) by gel filtration on Sephadex G-75 and reverse-phase HPLC on TSKgel ODS-120T, essentially as described for horse mackerel (Shiomi et al, 1998 [1583]). Purified preparations from each of the three species gave a single band of about 11 kDa (Hamada et al. 2003 [1395]).Parvalbumin was also purified from the white muscle of the more distantly related horse mackerel (Trachurus novaezelandiae). An extract was made by homogenizing white muscle with 4 volumes of 0.01 M phosphate buffer, pH 7.0. The extract was centrifuged at 18,800 x g for 20 minutes. The supernatant was heated in a boiling water bath for 20 minute and centrifuged again. After dialysis against water (Spectra/Por 6 membrane, cut-off 3500 Da) and concentration with a rotary evaporator, the supernatant was purified by gel filtration on a Sephadex G-75 column (2.5 x 90 cm) equilibrated with PBS, pH 7.0, and eluted at 30 ml/h. Allergen containing fractions were combined and applied to reverse-phase HPLC on a TSKgel ODS-120T colun (0.46 x 25 cm). Fractions were eluted at 1 ml/h. with a gradient of acetonitrile in 0.1% trifluoroacetic acid. Parvalbumin was eluted as a single peak after 6 small peaks. The yield was 31 mg from 78 g of horse mackerel muscle and this gave a single band corresponding to a molecular weight of 10,500 by SDS-PAGE, regardless of the presence or absence of a reducing agent (Shiomi et al, 1998 [1583]).Hamada et al (2004) [1392] expressed recombinant pacific mackerel,Scomber japonicus,as a 38 kDa GST-fusion protein inE. coliusing the pGEX-6p-3 system. This was specifically bound on a glutathione-Sepharose 4B column and cleaved with PreScission Protease on the column. The parvalbumin was eluted from the column to give approximately 24 mg/l of parvalbumin giving a single band at 12 kDa on SDS-PAGE."
"Celery, Celeriac",Apium graveolens,,,,,,,,,,
"Celery, Celeriac",Apium graveolens,,,,,,,,,,
"Celery, Celeriac",Apium graveolens,,Api g 1 (Api g 1.0101 & Api g 1.0201),,Major,"Bet v 1 homologue, PfamPF00407",Yes,,"As a consequence of sequence homology there are cross-reaction with major food allergens from apple (Mal d 1), carrot (Dau c 1) and cherry (Pru a 1) and with pollen allergens from the order Fagales (Bet v 1, Aln g 1, Cor a 1, Car b 1). Api g 1 is also cross-reactive with the birch pollen allergen Bet v 1 and related proteins (from carrot, cherry, apple) as studied by immunoblot, and immunoblot inhibition (Ebner et al 1995 [46]).",,Hoffmann-Sommergruber et al. (2000) [1048] purified recombinant Api g 1.0201 by expression in E. coli as a hexahis-tagged protein. Cells were harvested and lysed. Cell lysates were resuspended in 6 M guanidinium hydrochloride and 0.1M sodium phosphate pH 8.0. Api g 1.0201 was purified by Ni-chelate affinity chromatography.Breiteneder et al. (1995) [25] purified recombinant Api g 1.0101 without a tag using chromatofocusing and reverse phase HPLC as developed for rBet v 1 (Ferreira et al. 1993 [1050]).
"Celery, Celeriac",Apium graveolens,,Api g 4,,Minor,Profilins; Pfamhttp://www.sanger.ac.uk/cgi-bin/Pfam/getacc?PF00235,Yes,,"The protein has sequence similarity identities to birch profilin (Bet v 2): 80%, soybean profilin (Gly m 3) 78%, and barley profilin 75%.",,"Vieths et al. (1995) [229] report a simplified purification based on van Ree et al. (1992) [544] and Vallier et al. (1992) [220] using affinity isolation on poly-L-proline, pLp. The pLp solid phase was made by coupling pLp onto CNBr-activated Sepharose 4B and washed twice with buffer (20 mM immidazole pH 7.5, 150 mM NaCl, 0.5 mM ATP). The celery extract was disolved in the buffer and incubated for 3 hours with the Sepharose beads. The beads were then washed 6 times with the buffer and then proteins were eluted in three fractions with the same buffer containing 6M urea."
"Celery, Celeriac",Apium graveolens,,Api g 5,,Minor,FAD binding oxidase homologue; PFAMPF01565,N-terminus and 3 peptides,,Api g 5 is bound by IgG raised against Art v 1 from mugwort.,,"Bublin et al (2003) [1014] froze celery tuber pieces in liquid nitrogen and ground them into a powder. Proteins were extracted in 10 mM potassium phosphate buffer, pH 7.4, containing 2% w/v polyvinylpyrilidone, 2mM EDTA, 10 mM diethylthiocarbonate and 3mM sodium azide by shaking overnight at 4Â°C. The extract was centrifuged (40,000xg for 60 min. at at 4Â°C) and the supernatant filtered. Ammonium sulfate was added to 40% saturation. The precipiate was collected and disolved in 20 mM Tris/HCl, pH 7.4, and dialysed against this buffer. This was loaded onto Concanavalin A-Sepharose column (Amersham Biosciences) equilibrated with 20 mM Tris/HCl, pH 7.4, with 0.5M NaCl. This was eluted with 0.4M mthyl alpha-D-mannopyranoside in the same buffer. The eluted protein was dialysed against 20 mM Tris/HCl, pH 8.0, and loaded onto a Resource Q ion-exchange column (Amersham Biosciences) and eluted with a linear gradient towards 20 mM Tris/HCl, pH 8.0, with 0.5M NaCl. Fractions binding IgE were located by ELISA and immunoblotting."
Pine nuts,Pinus pinea,,,,,,,,,,
Pine nuts,Pinus pinea,,,,,,,,,,
Cotton seed,Gossypium herbaceum,,,,,,,,,,
Cotton seed,Gossypium herbaceum,,,,,,,,,,
Cotton seed,Gossypium herbaceum,,2S albumin,,,PF00234; tryp_alpha_amyl; 2S albumin seed storage protein,No,,None known,,3g of dehulled cottonseed is homogenised in 100ml of PBS for 20min. Crude extract centrifuged at 10000g for 30 min and aqueous supernatant collected. The 2S albumins were purified by sucrose density centrifugation.
Hazelnut,Corylus avellana,,,,,,,,,,
Hazelnut,Corylus avellana,,,,,,,,,,
